date,ticker,company_name,gics_sector,gics_industry_group,gics_industry,gics_sub_industry,source,revision_date,revision_id
2021-07-31,RCL,Royal Caribbean Group,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,RE,Everest Re,Financials,Insurance,Insurance,Reinsurance,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,REG,Regency Centers,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,REGN,Regeneron Pharmaceuticals,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,RF,Regions Financial Corporation,Financials,Banks,Banks,Regional Banks,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,RHI,Robert Half International,Industrials,Commercial & Professional Services,Professional Services,Human Resource & Employment Services,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,RJF,Raymond James Financial,Financials,Diversified Financials,Capital Markets,Investment Banking & Brokerage,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,RL,Ralph Lauren Corporation,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,RMD,ResMed,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,ROK,Rockwell Automation,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipment,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,ROL,Rollins,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Environmental & Facilities Services,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,ROP,Roper Technologies,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,ROST,Ross Stores,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,RSG,Republic Services,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Environmental & Facilities Services,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,RTX,Raytheon Technologies,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,SBAC,SBA Communications,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,SBUX,Starbucks,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,SCHW,Charles Schwab Corporation,Financials,Diversified Financials,Capital Markets,Investment Banking & Brokerage,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,SEE,Sealed Air,Materials,Materials,Containers & Packaging,Paper Packaging,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,SHW,Sherwin-Williams,Materials,Materials,Chemicals,Specialty Chemicals,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,SIVB,SVB Financial,Financials,Banks,Banks,Regional Banks,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,SJM,JM Smucker,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,SLB,Schlumberger,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,SNA,Snap-on,Industrials,Capital Goods,Machinery,Industrial Machinery,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,SNPS,Synopsys,Information Technology,Software & Services,Software,Application Software,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,SO,Southern Company,Utilities,Utilities,Electric Utilities,Electric Utilities,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,SPG,Simon Property Group,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,SPGI,S&P Global,Financials,Diversified Financials,Capital Markets,Financial Exchanges & Data,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,SRE,Sempra Energy,Utilities,Utilities,Multi-Utilities,Multi-Utilities,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,STE,Steris,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,STT,State Street Corporation,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,STX,Seagate Technology,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,STZ,Constellation Brands,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Distillers & Vintners,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,SWK,Stanley Black & Decker,Industrials,Capital Goods,Machinery,Industrial Machinery,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,SWKS,Skyworks Solutions,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,SYF,Synchrony Financial,Financials,Diversified Financials,Consumer Finance,Consumer Finance,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,SYK,Stryker Corporation,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,SYY,Sysco,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Food Distributors,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,T,AT&T,Communication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,TAP,Molson Coors Beverage Company,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Brewers,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,TDG,TransDigm Group,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,TDY,Teledyne Technologies,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,TEL,TE Connectivity,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Manufacturing Services,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,TER,Teradyne,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,TFC,Truist Financial,Financials,Banks,Banks,Regional Banks,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,TFX,Teleflex,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,TGT,Target Corporation,Consumer Discretionary,Retailing,Multiline Retail,General Merchandise Stores,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,TJX,TJX Companies,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,TMO,Thermo Fisher Scientific,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Life Sciences Tools & Services,Life Sciences Tools & Services,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,TMUS,T-Mobile US,Communication Services,Telecommunication Services,Wireless Telecommunication Services,Wireless Telecommunication Services,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,TPR,Tapestry,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Apparel, accessories & Luxury Goods",https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,TRMB,Trimble,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,TROW,T. Rowe Price,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,TRV,The Travelers Companies,Financials,Insurance,Insurance,Property & Casualty Insurance,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,TSCO,Tractor Supply Company,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,TSLA,Tesla,Consumer Discretionary,Automobiles & Components,Automobiles,Automobile Manufacturers,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,TSN,Tyson Foods,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,TT,Trane Technologies,Industrials,Capital Goods,Building Products,Building Products,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,TTWO,Take-Two Interactive,Communication Services,Media & Entertainment,Entertainment,Interactive Home Entertainment,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,TWTR,Twitter,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,TXN,Texas Instruments,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,TXT,Textron,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,TYL,Tyler Technologies,Information Technology,Software & Services,Software,Application Software,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,UA,Under Armour (Class C),Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,UAA,Under Armour (Class A),Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,UAL,United Airlines,Industrials,Transportation,Airlines,Airlines,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,UDR,UDR,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Residential REITs,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,UHS,Universal Health Services,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Facilities,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,ULTA,Ulta Beauty,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,UNH,UnitedHealth Group,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Managed Health Care,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,UNM,Unum Group,Financials,Insurance,Insurance,Life & Health Insurance,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,UNP,Union Pacific,Industrials,Transportation,Road & Rail,Railroads,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,UPS,United Parcel Service,Industrials,Transportation,Air Freight & Logistics,Air Freight & Logistics,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,URI,United Rentals,Industrials,Capital Goods,Trading Companies & Distributors,Trading Companies & Distributors,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,USB,U.S. Bancorp,Financials,Banks,Banks,Diversified Banks,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,V,Visa,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,VFC,VF Corporation,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,VIAC,ViacomCBS,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,VLO,Valero Energy,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,VMC,Vulcan Materials,Materials,Materials,Construction Materials,Construction Materials,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,VNO,Vornado Realty Trust,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Office REITs,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,VRSK,Verisk Analytics,Industrials,Commercial & Professional Services,Professional Services,Research & Consulting Services,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,VRSN,Verisign,Information Technology,Software & Services,IT Services,Internet Services & Infrastructure,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,VRTX,Vertex Pharmaceuticals,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,VTR,Ventas,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Health Care REITs,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,VTRS,Viatris,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,VZ,Verizon Communications,Communication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,WAB,Wabtec,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy Trucks,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,WAT,Waters Corporation,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Distributors,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,WBA,Walgreens Boots Alliance,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Drug Retail,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,WDC,Western Digital,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,WEC,WEC Energy Group,Utilities,Utilities,Electric Utilities,Electric Utilities,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,WELL,Welltower,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Health Care REITs,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,WFC,Wells Fargo,Financials,Banks,Banks,Diversified Banks,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,WHR,Whirlpool Corporation,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Household Appliances,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,WLTW,Willis Towers Watson,Financials,Insurance,Insurance,Insurance Brokers,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,WM,Waste Management,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Environmental & Facilities Services,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,WMB,Williams Companies,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,WMT,Walmart,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Hypermarkets & Super Centers,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,WRB,W. R. Berkley Corporation,Financials,Insurance,Insurance,Property & Casualty Insurance,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,WRK,WestRock,Materials,Materials,Containers & Packaging,Paper Packaging,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,WST,West Pharmaceutical Services,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Supplies,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,WU,Western Union,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
2021-07-31,WY,Weyerhaeuser,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs,https://en.wikipedia.org/w/index.php?oldid=1034925865,2021-07-22T16:10:28Z,1034925865
