edge_id,source_canonical_stock_id,target_canonical_stock_id,source_ticker,target_ticker,relation_type,evidence_text,filing_form,filing_date,accepted_at,accession_number,primary_document,confidence,confidence_tier,source_weight,base_weight,snapshot_weight,valid_from,valid_to,directed,source_name,source_record_id,source_url,extraction_method,mapping_status,temporal_status,validation_status
12770843234ec69180bbc2178e8bd73497c3154848d1e78f58027f25f9e30a35,CMIN-US:ADBE,CMIN-US:TGT,ADBE,TGT,customer,"By building on existing features such as Enhanced Anomaly Detection, Auto-Target, and other capabilities, we believe Adobe Sensei will increase the value we provide our customers and create a competitive differentiation in the market.To drive growth of Experience Cloud, we also intend to focus on customer engagement, partner leverage, and product differentiation.",10-K,2018-01-22,2018-01-22T21:07:26.000Z,0000796343-18-000015,adbe10kfy17.htm,0.60,low,0.95,0.570000,0.002235,2018-01-22T21:07:26.000Z,,1,SEC EDGAR,0000796343-18-000015,https://www.sec.gov/Archives/edgar/data/796343/000079634318000015/adbe10kfy17.htm,deterministic explicit-entity and relation-pattern extraction v2,unique_universe_match,public_at_sec_acceptance,candidate_review_required
663fe7aa92e38e97dddaee1f9a5b135deb65ec3f2c642061dd111d65c8f6ba75,CMIN-US:ADBE,CMIN-US:TGT,ADBE,TGT,customer,"11Table of ContentsAdobe TargetAdobe Target lets our customers test, target and personalize content across multiple devices.",10-K,2018-01-22,2018-01-22T21:07:26.000Z,0000796343-18-000015,adbe10kfy17.htm,0.60,low,0.95,0.570000,0.002235,2018-01-22T21:07:26.000Z,,1,SEC EDGAR,0000796343-18-000015,https://www.sec.gov/Archives/edgar/data/796343/000079634318000015/adbe10kfy17.htm,deterministic explicit-entity and relation-pattern extraction v2,unique_universe_match,public_at_sec_acceptance,candidate_review_required
fb04f39e3a536326e40a528cd8a5e5c39a8e9f7fefe5cb96a266625e86ecffe4,CMIN-US:PFE,CMIN-US:NVS,PFE,NVS,supplier,Pfizer is the contract manufacturer for the fill and finish stage of Glatopa 40mg/mL production at its McPherson site.,20-F,2018-01-24,2018-01-24T16:37:24.000Z,0001047469-18-000380,a2234185z20-f.htm,0.96,high,0.95,0.912000,0.003604,2018-01-24T16:37:24.000Z,,1,SEC EDGAR,0001047469-18-000380,https://www.sec.gov/Archives/edgar/data/1114448/000104746918000380/a2234185z20-f.htm,deterministic explicit-entity and relation-pattern extraction v2,unique_universe_match,public_at_sec_acceptance,accepted
a48a8d554ec836e243e89a927ffb9d9bf4584de3b6460b88bbdf4b40b12199ff,CMIN-US:MS,CMIN-US:NFLX,MS,NFLX,supplier,"LLC, as representative of the Initial Purchasers listed in Schedule 1 thereto 8-K 001-35727 10.2 February 5, 2015 10.10 Purchase Agreement, dated as of October 24, 2016, between the Company and Morgan Stanley & Co.",10-K,2018-01-29,2018-01-29T22:29:30.000Z,0001065280-18-000069,q4nflx201710k.htm,0.60,low,0.95,0.570000,0.002296,2018-01-29T22:29:30.000Z,,1,SEC EDGAR,0001065280-18-000069,https://www.sec.gov/Archives/edgar/data/1065280/000106528018000069/q4nflx201710k.htm,deterministic explicit-entity and relation-pattern extraction v2,unique_universe_match,public_at_sec_acceptance,candidate_review_required
6c95dad85a85ebda92d71d2c0d4a6a7e11d9b9318f3f6ffecbf16cf4a1721dc2,CMIN-US:MS,CMIN-US:NFLX,MS,NFLX,supplier,"LLC, as representative of the Initial Purchasers listed in Schedule 1 thereto 8-K 001-35727 10.2 October 27, 2016 10.12 Purchase Agreement, dated as of April 26, 2017, between the Company and Morgan Stanley & Co.",10-K,2018-01-29,2018-01-29T22:29:30.000Z,0001065280-18-000069,q4nflx201710k.htm,0.60,low,0.95,0.570000,0.002296,2018-01-29T22:29:30.000Z,,1,SEC EDGAR,0001065280-18-000069,https://www.sec.gov/Archives/edgar/data/1065280/000106528018000069/q4nflx201710k.htm,deterministic explicit-entity and relation-pattern extraction v2,unique_universe_match,public_at_sec_acceptance,candidate_review_required
6d79df18242228bb40372464c95a271a069bc190f383cfdb1de5356d9812b20e,CMIN-US:MS,CMIN-US:NFLX,MS,NFLX,supplier,"International plc, as representative of the Initial Purchasers listed in Schedule 1 thereto 8-K 001-35727 10.1 May 3, 2017 10.14† Executive Severance and Retention Incentive Plan, as amended and restated as of July 12, 2017 10-Q 001-35727 10.14 July 19, 2017 10.15 Revolving Credit Agreement among the Company, Deutsche bank AG New York Branch, Goldman Sachs Bank USA, JPMorgan Chase Bank, N.A., Morgan Stanley Senior Funding, Inc. and Wells Fargo Bank, N.A. and the administrative agent, dated as of July 27, 2017 10-Q 001-35727 10.15 October 18, 2017 10.16 Purchase Agreement, dated as of October 23, 2017 between the Company and Morgan Stanley & Co.",10-K,2018-01-29,2018-01-29T22:29:30.000Z,0001065280-18-000069,q4nflx201710k.htm,0.60,low,0.95,0.570000,0.002296,2018-01-29T22:29:30.000Z,,1,SEC EDGAR,0001065280-18-000069,https://www.sec.gov/Archives/edgar/data/1065280/000106528018000069/q4nflx201710k.htm,deterministic explicit-entity and relation-pattern extraction v2,unique_universe_match,public_at_sec_acceptance,candidate_review_required
ee53e2c6edbc81f2b330bc138f2f0db9eb3b056888d9dc5c83c78d67ef4ea0ee,CMIN-US:CMCSA,CMIN-US:CHTR,CMCSA,CHTR,supplier,"In our allocation of purchase price for this acquisition, we recorded goodwill of $5.1 billion, long-term debt of $3.3 billion and noncontrolling interests of $1.4 billion.Comcast 2017 Annual Report on Form 10-K73 Table of ContentsComcast CorporationTime Warner Cable Merger and Related Divestiture TransactionsOn April 24, 2015, we and Time Warner Cable Inc. terminated our planned merger, and we terminated our related agreement with Charter Communications, Inc. to spin off, exchange and sell certain cable systems.",10-K,2018-01-31,2018-01-31T21:35:39.000Z,0001166691-18-000004,cmcsa-12312017x10k.htm,0.60,low,0.95,0.570000,0.002314,2018-01-31T21:35:39.000Z,,1,SEC EDGAR,0001166691-18-000004,https://www.sec.gov/Archives/edgar/data/1166691/000116669118000004/cmcsa-12312017x10k.htm,deterministic explicit-entity and relation-pattern extraction v2,unique_universe_match,public_at_sec_acceptance,candidate_review_required
5184cee562008d2dcb49a802c40721f666b57abb5aca504de2283582b65e4d33,CMIN-US:CMCSA,CMIN-US:NFLX,CMCSA,NFLX,customer,"We refer to our HD and DVR services as “advanced services.”Our Internet Protocol (“IP”) and cloud-enabled video platform, referred to as our X1 platform, provides customers with integrated search functionality, including the use of a voice-activated remote control, personalized recommendations and access to, and integration of content from, certain third-party Internet applications, such as Netflix and YouTube.",10-K,2018-01-31,2018-01-31T21:35:39.000Z,0001166691-18-000004,cmcsa-12312017x10k.htm,0.60,low,0.95,0.570000,0.002314,2018-01-31T21:35:39.000Z,,1,SEC EDGAR,0001166691-18-000004,https://www.sec.gov/Archives/edgar/data/1166691/000116669118000004/cmcsa-12312017x10k.htm,deterministic explicit-entity and relation-pattern extraction v2,unique_universe_match,public_at_sec_acceptance,candidate_review_required
c148f6b0340a33acf849977704f49cb6c56d3ae5f4e4a7615b1b540336206800,CMIN-US:CMCSA,CMIN-US:SNAP,CMCSA,SNAP,supplier,"We classify the cash flows related to purchases of and proceeds from the sale of trading securities based on the nature of the securities and the purpose for which they were acquired.Comcast 2017 Annual Report on Form 10-K75 Table of ContentsComcast CorporationSnapIn March 2017, we acquired an interest in Snap Inc. for $500 million as part of its initial public offering, which we have classified as an available-for-sale security.",10-K,2018-01-31,2018-01-31T21:35:39.000Z,0001166691-18-000004,cmcsa-12312017x10k.htm,0.60,low,0.95,0.570000,0.002314,2018-01-31T21:35:39.000Z,,1,SEC EDGAR,0001166691-18-000004,https://www.sec.gov/Archives/edgar/data/1166691/000116669118000004/cmcsa-12312017x10k.htm,deterministic explicit-entity and relation-pattern extraction v2,unique_universe_match,public_at_sec_acceptance,candidate_review_required
4a28c744d11820f50de1893516989cf10881acd0c815c86f6413d7ac2fae7347,CMIN-US:CMCSA,CMIN-US:SNAP,CMCSA,SNAP,supplier,"We classify the cash flows related to purchases of and proceeds from the sale of trading securities based on the nature of the securities and the purpose for which they were acquired.SnapIn March 2017, Comcast acquired an interest in Snap Inc. as part of its initial public offering.",10-K,2018-01-31,2018-01-31T21:35:39.000Z,0001166691-18-000004,cmcsa-12312017x10k.htm,0.60,low,0.95,0.570000,0.002314,2018-01-31T21:35:39.000Z,,1,SEC EDGAR,0001166691-18-000004,https://www.sec.gov/Archives/edgar/data/1166691/000116669118000004/cmcsa-12312017x10k.htm,deterministic explicit-entity and relation-pattern extraction v2,unique_universe_match,public_at_sec_acceptance,candidate_review_required
1b17753c1b792c27d5b3cfffe1f29bd61b016fbafe006185b217f1b2482c38ed,CMIN-US:SNAP,CMIN-US:CMCSA,SNAP,CMCSA,supplier,"Proceeds from sales of businesses and investments in 2015 were primarily related to the sale of our investment in TV One, LLC and the sale of a business, CTI Towers Assets I, LLC.Purchases of InvestmentsPurchases of investments in 2017 were primarily related to additional capital contributions to Atairos, our investment in Snap Inc. and NBCUniversal’s additional capital contributions to Hulu.",10-K,2018-01-31,2018-01-31T21:35:39.000Z,0001166691-18-000004,cmcsa-12312017x10k.htm,0.60,low,0.95,0.570000,0.002314,2018-01-31T21:35:39.000Z,,1,SEC EDGAR,0001166691-18-000004,https://www.sec.gov/Archives/edgar/data/1166691/000116669118000004/cmcsa-12312017x10k.htm,deterministic explicit-entity and relation-pattern extraction v2,unique_universe_match,public_at_sec_acceptance,candidate_review_required
b3a1142b01ca4267a7b1b2697cf36f6ab1e434b11315e53d0a7ec0972b1f2409,CMIN-US:CHTR,CMIN-US:NFLX,CHTR,NFLX,customer,"Spectrum Guide® is designed to allow our customers to enjoy a state-of-the-art video experience on the majority of our set-top boxes, including accessing third-party video applications such as Netflix.",10-K,2018-02-02,2018-02-02T13:07:24.000Z,0001091667-18-000025,chtr12312017-10k.htm,0.60,low,0.95,0.570000,0.002332,2018-02-02T13:07:24.000Z,,1,SEC EDGAR,0001091667-18-000025,https://www.sec.gov/Archives/edgar/data/1091667/000109166718000025/chtr12312017-10k.htm,deterministic explicit-entity and relation-pattern extraction v2,unique_universe_match,public_at_sec_acceptance,candidate_review_required
d7f239a67cbe8aec0a2b1456cf20dc4ab37a5cf46ab6dfbee396827567deb403,CMIN-US:NFLX,CMIN-US:CHTR,NFLX,CHTR,supplier,"Other online video business models have also developed, including, (i) subscription video on demand (“SVOD”) services such as Netflix, Amazon Prime, and Hulu Plus, (ii) ad-supported free online video products, including YouTube and Hulu, some of which offer programming for free to consumers that we currently purchase for a fee, (iii) pay-per-view products, such as iTunes and Amazon Instant, and (iv) additional offerings from wireless providers which continue to integrate and bundle video services and mobile products.",10-K,2018-02-02,2018-02-02T13:07:24.000Z,0001091667-18-000025,chtr12312017-10k.htm,0.60,low,0.95,0.570000,0.002332,2018-02-02T13:07:24.000Z,,1,SEC EDGAR,0001091667-18-000025,https://www.sec.gov/Archives/edgar/data/1091667/000109166718000025/chtr12312017-10k.htm,deterministic explicit-entity and relation-pattern extraction v2,unique_universe_match,public_at_sec_acceptance,candidate_review_required
c0dd4a2c163b64cf76537270893cef709f46a89b0bf2b3d35dc8815e7cfea3b9,CMIN-US:MS,CMIN-US:NFLX,MS,NFLX,supplier,"LLC, as representative of the Initial Purchasers listed in Schedule 1 thereto 8-K 001-35727 10.2 February 5, 2015 10.10 Purchase Agreement, dated as of October 24, 2016, between the Company and Morgan Stanley & Co.",10-K/A,2018-02-05,2018-02-03T00:13:16.000Z,0001628280-18-000941,q4nflx201710ka.htm,0.60,low,0.95,0.570000,0.002341,2018-02-03T00:13:16.000Z,,1,SEC EDGAR,0001628280-18-000941,https://www.sec.gov/Archives/edgar/data/1065280/000162828018000941/q4nflx201710ka.htm,deterministic explicit-entity and relation-pattern extraction v2,unique_universe_match,public_at_sec_acceptance,candidate_review_required
6f30dabb26ab0c3fa7f1ee36bc08f83f475e6f0d898b081dae8eef3bfe34bc9c,CMIN-US:MS,CMIN-US:NFLX,MS,NFLX,supplier,"LLC, as representative of the Initial Purchasers listed in Schedule 1 thereto 8-K 001-35727 10.2 October 27, 2016 10.12 Purchase Agreement, dated as of April 26, 2017, between the Company and Morgan Stanley & Co.",10-K/A,2018-02-05,2018-02-03T00:13:16.000Z,0001628280-18-000941,q4nflx201710ka.htm,0.60,low,0.95,0.570000,0.002341,2018-02-03T00:13:16.000Z,,1,SEC EDGAR,0001628280-18-000941,https://www.sec.gov/Archives/edgar/data/1065280/000162828018000941/q4nflx201710ka.htm,deterministic explicit-entity and relation-pattern extraction v2,unique_universe_match,public_at_sec_acceptance,candidate_review_required
fcf25046c007b13ee587baa0244afadaf8f1c958acc7b11c7abc940c811d4b11,CMIN-US:MS,CMIN-US:NFLX,MS,NFLX,supplier,"International plc, as representative of the Initial Purchasers listed in Schedule 1 thereto 8-K 001-35727 10.1 May 3, 2017 10.14† Executive Severance and Retention Incentive Plan, as amended and restated as of July 12, 2017 10-Q 001-35727 10.14 July 19, 2017 10.15 Revolving Credit Agreement among the Company, Deutsche bank AG New York Branch, Goldman Sachs Bank USA, JPMorgan Chase Bank, N.A., Morgan Stanley Senior Funding, Inc. and Wells Fargo Bank, N.A. and the administrative agent, dated as of July 27, 2017 10-Q 001-35727 10.15 October 18, 2017 10.16 Purchase Agreement, dated as of October 23, 2017 between the Company and Morgan Stanley & Co.",10-K/A,2018-02-05,2018-02-03T00:13:16.000Z,0001628280-18-000941,q4nflx201710ka.htm,0.60,low,0.95,0.570000,0.002341,2018-02-03T00:13:16.000Z,,1,SEC EDGAR,0001628280-18-000941,https://www.sec.gov/Archives/edgar/data/1065280/000162828018000941/q4nflx201710ka.htm,deterministic explicit-entity and relation-pattern extraction v2,unique_universe_match,public_at_sec_acceptance,candidate_review_required
